0.1309,1.6527,11.2589,-1.514,0.548,-0.784,150.5725,142.5558,5.527,1
0.3831,-0.6586,9.029,-0.113,2.461,-0.414,136.5795,128.6289,6.126,2
-0.2974,-0.3112,9.0599,-1.85,1.234,-0.241,119.9927,112.0743,7.0117,1
2.3192,-2.0876,8.9311,2.216,-4.755,-0.531,108.3949,100.6023,7.8259,1
1.4656,-0.5005,10.4463,-4.897,2.944,0.514,114.1195,106.3869,7.4333,2
-0.6747,-0.5495,11.2064,-0.53,-3.78,0.305,104.2625,96.5205,8.1628,2
-0.1066,-1.3423,10.8191,2.176,-0.432,-0.386,87.4047,79.8312,9.8687,3
0.2453,-0.2652,9.6449,-4.483,3.007,-0.722,78.0934,70.4943,11.1035,3
1.3534,0.095,8.5964,1.871,1.962,-0.734,68.2861,60.9801,12.9086,2
-0.6952,-0.5467,11.3485,1.531,-0.658,-0.657,53.0897,46.3041,17.1182,3
0.6843,-0.2671,10.4504,-2.327,2.74,-1.073,49.2231,42.6396,18.6536,3
0.7201,0.9653,10.2815,0.963,-1.5,-1.144,49.2661,42.2505,18.4783,1
0.5408,1.2302,10.4792,-0.315,-2.142,-3.483,39.8414,33.6378,23.6633,3
1.9922,1.2383,10.061,-2.757,0.079,-0.137,217.9393,209.7602,3.7614,3
0.0324,0.5447,11.6604,-0.642,6.642,-1.02,207.6765,199.5333,3.9567,2
0.3952,-0.5336,8.4244,7.698,-10.108,-0.727,200.0816,191.9301,4.1088,3
-1.5456,0.6516,10.0133,0.343,3.237,5.933,182.4887,174.3938,4.5241,2
-0.3296,2.2674,8.6912,-5.496,2.351,-0.856,175.0236,167.0324,4.7403,2
1.0574,-0.1514,8.3915,-0.837,-3.278,-1.833,166.4946,158.5295,4.9941,1
-0.1356,0.4369,9.6108,-3.802,1.933,-0.124,166.0279,158.0446,5.0052,3
0.0144,1.5612,10.6031,-1.514,0.548,-0.784,150.5725,142.5558,5.527,1
0.4031,-0.5935,8.503,-0.113,2.461,-0.414,136.5795,128.6289,6.126,2
-0.2589,-0.3119,8.5321,-1.85,1.234,-0.241,119.9927,112.0743,7.0117,1
2.3159,-1.8089,8.4109,2.216,-4.755,-0.531,108.3949,100.6023,7.8259,1
1.4097,-0.3739,9.8377,-4.897,2.944,0.514,114.1195,106.3869,7.4333,2
-0.5977,-0.5605,10.5536,-0.53,-3.78,0.305,104.2625,96.5205,8.1628,2
-0.012,-1.268,10.1889,2.176,-0.432,-0.386,87.4047,79.8312,9.8687,3
0.2479,-0.233,9.0831,-4.483,3.007,-0.722,78.0934,70.4943,11.1035,3
1.2653,0.1781,8.0956,1.871,1.962,-0.734,68.2861,60.9801,12.9086,2
-0.6172,-0.5593,10.6875,1.531,-0.658,-0.657,53.0897,46.3041,17.1182,3
0.6604,-0.206,9.8416,-2.327,2.74,-1.073,49.2231,42.6396,18.6536,3
0.6131,0.9541,9.6825,0.963,-1.5,-1.144,49.2661,42.2505,18.4783,1
0.4272,1.1913,9.8688,-0.315,-2.142,-3.483,39.8414,33.6378,23.6633,3
